id_text,text
saludo,"Hola, me llamo Ana y estoy aprendiendo R."
compra,Ayer fui al mercado del barrio y compré pan fresco.
rutina,"Cada mañana me levanto temprano, preparo café y leo las noticias antes de empezar a trabajar."
estudio,"Estoy tomando un curso de programación en R que exige practicar a diario, resolver ejercicios y leer documentación técnica."
viaje,"Durante las vacaciones del verano pasado viajamos en tren por el sur del país, visitando pueblos pequeños y probando comidas típicas en cada parada."
academico,"En el taller de escritura académica nos explicaron que un buen artículo no solo presenta resultados claros, sino que también justifica de manera rigurosa las decisiones metodológicas y discute sus limitaciones."
tecnologia,"Aunque muchas personas utilizan aplicaciones móviles todos los días, pocas se detienen a pensar en cómo los algoritmos analizan sus datos personales para ofrecer recomendaciones, anuncios dirigidos y experiencias aparentemente personalizadas."
politica,"Cuando se analizan los discursos de campaña, resulta evidente que ciertos candidatos utilizan frases breves y eslóganes memorables para captar la atención, mientras que otros prefieren argumentos extensos que intentan explicar en detalle las consecuencias económicas y sociales de sus propuestas."
historia,"La historia de la educación pública en la región muestra una serie de reformas sucesivas que, si bien buscaron ampliar el acceso y mejorar la calidad, con frecuencia ignoraron las condiciones materiales de las escuelas, el trabajo cotidiano de los docentes y las necesidades específicas de las comunidades."
ciencia,"En la divulgación científica es fundamental adaptar el lenguaje al público, evitando tecnicismos innecesarios pero sin sacrificar la precisión conceptual, de modo que las personas puedan comprender fenómenos complejos como el cambio climático, la inteligencia artificial o las pandemias sin recurrir a explicaciones simplistas."
